work_order_id,part_number_raw,part_number_clean,customer,quantity_ordered,machine_id,operator_id_raw,operator_id_clean,shift_code,lot_id_raw,lot_id_clean,order_date,scheduled_start,actual_start,complexity,material_type,requires_welding,std_labor_hrs
WO-10000,P-1001,P-1001,Customer A,5,M07,OP007,OP007,,,,2023-01-02,2023-01-02 14:08:00,2023-01-02 14:37:00,Medium,16ga Steel,True,1.02
WO-10001,P-1032,P-1032,Customer F,13,M06,OP019,OP019,Shift A,,,2023-01-02,2023-01-02 07:14:00,2023-01-02 07:14:00,Medium,Aluminum 5052,False,2.02
WO-10002,P-1010,P-1010,Customer A,8,M03,OP010,OP010,Shift B,,,2023-01-02,2023-01-02 14:22:00,2023-01-02 15:06:00,Low,Stainless 304,True,4.08
WO-10003,P1016,P-1016,Customer G,25,M05,OP018,OP018,Shift A,LOT-1003,LOT-1003,2023-01-02,2023-01-02 06:19:00,2023-01-02 07:05:00,Low,14ga Steel,False,4.13
WO-10004,PART-1012,P-1012,Customer D,8,M04,OP002,OP002,Shift A,,,2023-01-02,2023-01-02 06:07:00,2023-01-02 07:05:00,Medium,"3/8"" Plate",False,1.39
WO-10005,P1023,P-1023,Customer F,22,M02,OP015,OP015,Shift A,,,2023-01-02,2023-01-02 06:18:00,2023-01-02 06:38:00,Medium,12ga Steel,True,2.76
WO-10006,p-1029,P-1029,Customer B,6,M04,OP008,OP008,Shift B,LOT-1002,LOT-1002,2023-01-02,2023-01-02 15:49:00,2023-01-02 15:53:00,Low,"1/4"" Plate",True,3.64
WO-10007,P1025,P-1025,Customer C,17,M06,OP003,OP003,Shift B,,,2023-01-03,2023-01-03 13:51:00,2023-01-03 15:13:00,Medium,Stainless 304,False,4.83
WO-10008,P-1029,P-1029,Customer B,9,M06,OP013,OP013,Shift A,LOT-1002,LOT-1002,2023-01-03,2023-01-03 07:12:00,2023-01-03 07:23:00,Low,"1/4"" Plate",True,3.64
WO-10009,P-1003,P-1003,Customer D,17,M04,OP005,OP005,Shift A,LOT-1002,LOT-1002,2023-01-03,2023-01-03 06:39:00,2023-01-03 07:38:00,Medium,"1/4"" Plate",False,4.63
WO-10010,PART-1033,P-1033,Customer F,13,M04,Michele Williams,OP014,Shift B,,,2023-01-03,2023-01-03 14:00:00,2023-01-03 14:43:00,Medium,Stainless 304,True,4.52
WO-10011,p-1007,P-1007,Customer B,21,M02,Monica Herrera,OP011,Shift B,,,2023-01-03,2023-01-03 14:12:00,2023-01-03 15:32:00,Medium,16ga Steel,True,0.78
WO-10012,P-1019,P-1019,Customer E,5,M06,OP005,OP005,Shift A,,,2023-01-03,2023-01-03 05:52:00,2023-01-03 06:38:00,Medium,16ga Steel,True,0.85
WO-10013,P1019,P-1019,Customer E,7,M06,OP002,OP002,Shift A,,,2023-01-03,2023-01-03 04:57:00,2023-01-03 06:05:00,Medium,16ga Steel,True,0.85
WO-10014,P-1008,P-1008,Customer G,24,M05,OP018,OP018,Shift A,,,2023-01-03,2023-01-03 05:49:00,2023-01-03 06:16:00,Low,"3/8"" Plate",False,1.97
WO-10015,PART-1034,P-1034,Customer E,19,M02,OP013,OP013,Shift A,,,2023-01-03,2023-01-03 07:00:00,2023-01-03 07:28:00,Medium,12ga Steel,False,2.39
WO-10016,P-1004,P-1004,Customer D,25,M06,OP001,OP001,,,,2023-01-03,2023-01-03 13:52:00,2023-01-03 14:00:00,Medium,"3/8"" Plate",True,4.61
WO-10017,P-1002,P-1002,Customer E,22,M01,OP003,OP003,Shift B,,,2023-01-03,2023-01-03 14:29:00,2023-01-03 15:42:00,Medium,Aluminum 5052,False,4.78
