inspection_id,work_order_id,inspection_date,inspector_id,quantity_inspected,quantity_passed,quantity_failed,defect_code_raw,defect_code_clean,disposition,notes
INSP-1,WO-10000,2023-01-02 17:49:38.714135017,OP008,5,5,0,No Defect,None,Pass,Much section investment on gun young catch.
INSP-2,WO-10001,2023-01-02 10:41:14.937846723,OP002,13,11,2,Dimensional,Dimensional,Scrap,
INSP-3,WO-10002,2023-01-02 19:19:19.517729342,OP014,8,7,1,DIMENSIONAL,Dimensional,Scrap,
INSP-4,WO-10003,2023-01-02 08:48:06.480925305,OP009,25,24,1,DIMENSIONAL,Dimensional,Scrap,
INSP-5,WO-10004,2023-01-02 09:47:34.822270324,OP012,8,8,0,OK,None,Pass,
INSP-6,WO-10005,2023-01-02 12:00:44.475376465,OP018,22,21,1,Dim,Dimensional,Rework,
INSP-7,WO-10006,2023-01-02 19:28:53.104753159,OP002,6,6,0,No Defect,None,Pass,
INSP-8,WO-10007,2023-01-03 20:06:57.035401435,OP015,17,16,1,Dimentional,Dimensional,Rework,Before another body physical society instead as.
INSP-9,WO-10008,2023-01-03 11:23:56.837824918,OP003,9,9,0,none,None,Pass,
INSP-10,WO-10009,2023-01-03 09:50:53.154793905,OP018,17,16,1,DIMENSIONAL,Dimensional,Rework,
INSP-11,WO-10010,2023-01-03 16:44:50.578765818,OP011,13,13,0,,None,Pass,
INSP-12,WO-10011,2023-01-03 20:28:37.155548857,OP016,21,19,2,incorrect material,Incorrect Material,Use-As-Is,
INSP-13,WO-10012,2023-01-03 08:15:42.011176313,OP018,5,5,0,OK,None,Pass,
INSP-14,WO-10013,2023-01-03 09:42:33.233384119,OP005,7,7,0,PASS,None,Pass,Other life edge network wall quite.
INSP-15,WO-10013,2023-01-03 09:51:33.233384119,OP005,7,7,0,PASS,None,Pass,Other life edge network wall quite.
INSP-16,WO-10014,2023-01-03 10:49:51.685702680,OP003,24,24,0,,None,Pass,
INSP-17,WO-10015,2023-01-03 10:50:51.652390606,OP001,19,19,0,NONE,None,Pass,
INSP-18,WO-10016,2023-01-03 16:12:02.568077231,OP004,25,25,0,OK,None,Pass,
INSP-19,WO-10017,2023-01-03 20:38:28.817634126,OP017,22,21,1,Wrong Material,Incorrect Material,Rework,Race Mr environment political.
INSP-20,WO-10018,2023-01-04 11:29:15.043440393,OP007,18,18,0,none,None,Pass,
INSP-21,WO-10019,2023-01-04 11:32:26.695911986,OP001,22,22,0,Pass,None,Pass,
INSP-22,WO-10020,2023-01-04 21:17:02.206338889,OP008,22,18,4,Weld Defect,Weld Defect,Scrap,
INSP-23,WO-10020,2023-01-04 21:50:02.206338889,OP008,22,18,4,Weld Defect,Weld Defect,Scrap,
INSP-24,WO-10021,2023-01-04 11:34:03.348797572,OP005,20,20,0,none,None,Pass,
INSP-25,WO-10022,2023-01-04 09:02:35.056735380,OP020,22,22,0,,None,Pass,
INSP-26,WO-10023,2023-01-04 11:00:55.296185500,OP010,6,6,0,,None,Pass,
INSP-27,WO-10024,2023-01-04 17:30:17.221359414,OP004,10,10,0,No Defect,None,Pass,
INSP-28,WO-10025,2023-01-04 16:39:07.858668064,OP003,24,23,1,Dimentional,Dimensional,Rework,
INSP-29,WO-10026,2023-01-04 15:35:07.889068196,OP016,25,24,1,BURR,Burr,Rework,
INSP-30,WO-10027,2023-01-04 09:39:34.628725478,OP016,21,21,0,,None,Pass,Fall citizen about reveal.
INSP-31,WO-10028,2023-01-04 10:33:21.973692922,OP002,25,23,2,void,Porosity,Rework,
INSP-32,WO-10028,2023-01-04 10:56:21.973692922,OP002,25,23,2,void,Porosity,Rework,
INSP-33,WO-10029,2023-01-04 07:46:30.158322365,OP018,11,11,0,PASS,None,Pass,Will seven medical blood personal.
INSP-34,WO-10030,2023-01-04 17:44:54.574708095,OP003,13,13,0,PASS,None,Pass,
INSP-35,WO-10031,2023-01-04 17:01:26.121396865,OP018,7,7,0,None,None,Pass,
INSP-36,WO-10032,2023-01-04 11:16:08.870897511,OP016,14,14,0,PASS,None,Pass,Participant check several much single morning a.
INSP-37,WO-10033,2023-01-05 10:21:19.364527426,OP009,12,11,1,surface scr,Surface Scratch,Rework,
