scrap_id,work_order_id,inspection_id,scrap_date,machine_id,operator_id,shift_code,material_type,lot_id,defect_code_clean,quantity_scrapped,quantity_reworked,scrap_reason_raw,scrap_reason_clean,material_cost_per_unit,labor_cost_per_unit,total_scrap_cost
SCRAP-1,WO-10000,INSP-1,2023-01-02 15:43:45.174234607,M07,OP007,,16ga Steel,,Dimensional,0,1,First Article Fail,SETUP_ERROR,0.69,20.13,0.0
SCRAP-2,WO-10001,INSP-2,2023-01-02 08:58:55.133478901,M06,OP019,Shift A,Aluminum 5052,,Weld Defect,9,4,OPERATOR_ERROR,OPERATOR_ERROR,6.06,35.0,369.54
SCRAP-3,WO-10002,INSP-3,2023-01-02 17:59:16.221099578,M03,OP010,Shift B,Stainless 304,,Dimensional,4,9,Operator Error,OPERATOR_ERROR,2.14,32.79,139.72
SCRAP-4,WO-10003,INSP-4,2023-01-02 09:20:01.515735080,M05,OP018,Shift A,14ga Steel,LOT-1003,Porosity,16,9,Mach Issue,MACHINE_ISSUE,8.61,28.07,586.88
SCRAP-5,WO-10005,INSP-6,2023-01-02 18:25:00.019988300,M04,OP006,Shift B,"1/4"" Plate",LOT-1002,Burr,9,3,set up error,SETUP_ERROR,1.3,49.32,455.58
SCRAP-6,WO-10009,INSP-10,2023-01-03 12:25:34.201107074,M04,OP005,Shift A,"1/4"" Plate",LOT-1002,Dimensional,5,8,material defect,MATERIAL_DEFECT,5.01,46.99,260.0
SCRAP-7,WO-10010,INSP-11,2023-01-03 19:57:35.137372227,M04,OP014,Shift B,Stainless 304,,Bend Angle,11,2,human error,OPERATOR_ERROR,6.86,38.2,495.66
SCRAP-8,WO-10011,INSP-12,2023-01-03 09:43:31.058697268,M03,OP013,Shift A,14ga Steel,LOT-1003,Dimensional,13,20,Mach Issue,MACHINE_ISSUE,2.15,55.73,752.44
SCRAP-9,WO-10012,INSP-13,2023-01-03 08:37:12.996298347,M06,OP005,Shift A,16ga Steel,,Weld Defect,1,1,Machine,MACHINE_ISSUE,5.14,52.39,57.53
SCRAP-10,WO-10013,INSP-14,2023-01-03 10:38:51.685702680,M06,OP002,,16ga Steel,,Porosity,19,1,Operator,OPERATOR_ERROR,5.46,47.52,1006.62
SCRAP-11,WO-10014,INSP-15,2023-01-03 09:06:24.631176198,M05,OP018,Shift A,"3/8"" Plate",,Surface Scratch,10,4,Mat Defect,MATERIAL_DEFECT,1.26,20.29,215.5
SCRAP-12,WO-10015,INSP-16,2023-01-03 10:30:30.324042533,M02,OP013,Shift A,12ga Steel,,Dimensional,8,2,human error,OPERATOR_ERROR,3.16,41.86,360.16
SCRAP-13,WO-10016,INSP-17,2023-01-03 18:47:15.043440393,M06,OP001,,"3/8"" Plate",,Porosity,13,3,Material Defect,MATERIAL_DEFECT,5.07,14.41,253.24
SCRAP-14,WO-10017,INSP-18,2023-01-03 20:49:59.594609210,M01,OP003,Shift B,Aluminum 5052,,Incorrect Material,12,4,Material Defect,MATERIAL_DEFECT,2.52,55.9,701.04
SCRAP-15,WO-10018,INSP-19,2023-01-04 08:46:39.127427476,M01,OP018,Shift A,12ga Steel,,Burr,5,7,MACHINE_ISSUE,MACHINE_ISSUE,6.82,47.68,272.5
SCRAP-16,WO-10018,INSP-20,2023-01-04 09:22:39.127427476,M01,OP018,Shift A,12ga Steel,,Burr,11,1,Setup,SETUP_ERROR,3.51,8.64,133.65
SCRAP-17,WO-10021,INSP-23,2023-01-04 07:42:40.267973065,M02,OP004,Shift A,12ga Steel,,Dimensional,6,4,Print Rev Error,DESIGN_ISSUE,2.86,41.05,263.46
SCRAP-18,WO-10022,INSP-24,2023-01-04 11:08:23.867907775,M04,OP017,Shift A,"1/4"" Plate",LOT-1002,Bend Angle,17,8,Mach Issue,MACHINE_ISSUE,5.89,18.56,415.65
SCRAP-19,WO-10023,INSP-25,2023-01-04 10:12:35.589688595,M05,OP009,Shift A,"1/4"" Plate",LOT-1002,Porosity,0,1,Machine Issue,MACHINE_ISSUE,8.8,37.09,0.0
SCRAP-20,WO-10024,INSP-26,2023-01-04 07:30:10.279190506,M04,OP002,Shift A,Stainless 304,,Bend Angle,8,11,Machine,MACHINE_ISSUE,1.18,7.59,70.16
SCRAP-21,WO-10025,INSP-27,2023-01-04 09:08:34.369512661,M02,OP020,Shift A,16ga Steel,,Incorrect Material,10,8,bad material,MATERIAL_DEFECT,5.6,37.8,434.0
SCRAP-22,WO-10026,INSP-28,2023-01-04 17:44:12.431343604,M02,OP007,Shift B,Stainless 304,,Dimensional,16,2,UNKNOWN,UNKNOWN,4.47,58.41,1006.08
SCRAP-23,WO-10027,INSP-29,2023-01-04 09:08:57.524597224,M04,OP004,Shift A,"1/4"" Plate",LOT-1002,Dimensional,5,2,First Article Fail,SETUP_ERROR,3.22,53.66,284.4
SCRAP-24,WO-10028,INSP-30,2023-01-04 16:45:27.121366704,M06,OP016,Shift B,16ga Steel,,Surface Scratch,3,7,Incoming Defect,MATERIAL_DEFECT,2.7,13.7,49.2
SCRAP-25,WO-10029,INSP-31,2023-01-04 18:48:30.456761445,M05,OP003,Shift B,"3/8"" Plate",,Dimensional,1,2,DESIGN_ISSUE,DESIGN_ISSUE,2.48,32.53,35.01
SCRAP-26,WO-10029,INSP-32,2023-01-04 19:24:30.456761445,M05,OP003,Shift B,"3/8"" Plate",,Dimensional,2,1,Design Issue,DESIGN_ISSUE,2.74,40.14,85.76
SCRAP-27,WO-10030,INSP-33,2023-01-04 18:17:43.677030235,M05,OP008,,14ga Steel,LOT-1003,Weld Defect,8,1,OPERATOR_ERROR,OPERATOR_ERROR,2.56,57.44,480.0
SCRAP-28,WO-10032,INSP-35,2023-01-04 07:49:08.131169016,M05,OP015,Shift A,12ga Steel,,Weld Defect,2,3,Mat Defect,MATERIAL_DEFECT,4.16,11.15,30.62
SCRAP-29,WO-10033,INSP-36,2023-01-05 09:50:42.955103007,M02,OP004,Shift A,Stainless 304,,Surface Scratch,14,21,Incoming Defect,MATERIAL_DEFECT,2.31,36.2,539.14
SCRAP-30,WO-10033,INSP-37,2023-01-05 10:21:42.955103007,M02,OP004,Shift A,Stainless 304,,Surface Scratch,29,6,Material Defect,MATERIAL_DEFECT,1.02,46.83,1387.65
SCRAP-31,WO-10034,INSP-38,2023-01-05 17:17:59.696232578,M05,OP001,Shift B,Aluminum 5052,,Porosity,27,13,bad material,MATERIAL_DEFECT,7.6,14.08,585.36
SCRAP-32,WO-10034,INSP-39,2023-01-05 17:34:59.696232578,M05,OP001,Shift B,Aluminum 5052,,Porosity,32,8,Operator Error,OPERATOR_ERROR,2.09,34.66,1176.0
SCRAP-33,WO-10035,INSP-40,2023-01-05 10:57:06.668265164,M03,OP017,Shift A,Stainless 304,,Bend Angle,8,7,Setup,SETUP_ERROR,3.49,41.94,363.44
SCRAP-34,WO-10036,INSP-41,2023-01-05 11:54:06.897182450,M04,OP009,Shift A,12ga Steel,,Bend Angle,7,14,equipment failure,MACHINE_ISSUE,2.36,8.52,76.16
SCRAP-35,WO-10037,INSP-42,2023-01-05 17:50:18.243197889,M06,OP014,Shift B,Aluminum 5052,,Weld Defect,3,2,Operator Error,OPERATOR_ERROR,2.15,8.9,33.15
SCRAP-36,WO-10038,INSP-43,2023-01-05 12:15:26.880155376,M01,OP020,Shift A,Aluminum 5052,,Incorrect Material,10,5,Mat Defect,MATERIAL_DEFECT,0.74,23.17,239.1
