feature,mean_abs_shap
quantity_ordered,0.40977657651682736
is_lapsed_cert_op,0.345572499345667
is_high_complexity,0.174316470557119
is_supplier_c_thin_gauge,0.12469121284231693
is_bending_shift_b,0.11488046526003293
complexity_Medium,0.034138008501883386
shift_code_Shift B,0.024751420163125995
shift_code_Shift A,0.024549637395141207
complexity_High,0.021240725112960657
machine_type_Bending,0.01738733947882744
material_type_16ga Steel,0.015111596163664183
std_labor_hrs,0.013623319256136834
"material_type_3/8"" Plate",0.00895559434148052
supplier_Supplier A,0.008699134908919576
machine_type_Laser Cutting,0.008088255700158625
schedule_variance_hrs,0.007975222250958673
material_type_14ga Steel,0.007125776738917585
lot_cert_status_Certified,0.006894199216522665
operator_id_OP001,0.006687553968943609
complexity_Low,0.006077095081738891
material_type_Aluminum 5052,0.005976860170615081
material_type_12ga Steel,0.005524583030752077
operator_id_OP015,0.00552232466821806
machine_id_M03,0.005418018073880064
operator_id_OP002,0.0050469852636134465
material_type_Stainless 304,0.004929002373953048
supplier_Supplier C,0.004829602303805383
machine_id_M07,0.004646387513733225
machine_type_Punching,0.004646387513733225
machine_age_years,0.00452792225628945
machine_id_M04,0.004349687106393756
requires_welding_True,0.004248036654229872
machine_id_M05,0.004229244023693628
operator_id_OP012,0.004075348185298974
requires_welding_False,0.004051408223742823
operator_id_OP003,0.003933162779972434
lot_cert_status_Conditional,0.0038554042399429676
machine_id_M06,0.0035132771507916387
operator_id_OP007,0.0034287028039887636
operator_id_OP009,0.0031852166187428346
machine_id_M02,0.003135348313731043
supplier_Supplier B,0.0030863289182041574
"material_type_1/4"" Plate",0.002767307875274052
operator_id_OP020,0.0027267346616644448
lot_cert_status_Missing,0.002194850983696966
machine_type_Welding,0.0021357084339451537
operator_id_OP017,0.0019837694125395613
operator_id_OP018,0.0019390608916048512
machine_id_M01,0.0016019368838913863
operator_id_OP004,0.0014533559924013626
operator_id_OP014,0.0009737689592913239
operator_id_OP019,0.0009249194214490067
operator_id_OP008,0.0009110636061822651
operator_id_OP013,0.0008418884800175574
operator_id_OP006,0.0008404073272290735
operator_id_OP011,0.0005949915990927541
operator_id_OP016,0.0003889296411957133
operator_id_OP010,0.00036571523454017083
operator_id_OP005,0.00031438302394314125
supplier_Supplier D,0.00010172315058469062
lot_cert_status_None,0.0
supplier_None,0.0
