feature,mean_abs_shap
quantity_ordered,0.4609143706658747
is_high_complexity,0.27102003688139287
machine_age_years,0.10922703955641393
is_supplier_c,0.09033355238895398
material_type_16ga Steel,0.07213966358961577
complexity_Medium,0.049279340299850295
std_labor_hrs,0.03918588018223335
is_bending_shift_b,0.0366669122690075
material_type_12ga Steel,0.03648029125701773
complexity_High,0.03299871950308865
machine_id_M06,0.029056181646197166
machine_type_Welding,0.025391864549230748
shift_code_Shift A,0.023579036539753906
shift_code_Shift B,0.02353989195814909
material_type_Stainless 304,0.022755572713035046
machine_id_M04,0.020447422106361936
material_type_14ga Steel,0.01921897393886678
machine_id_M03,0.017401104816844943
"material_type_3/8"" Plate",0.017218613392792115
supplier_Supplier C,0.01679299530022374
complexity_Low,0.012873638198499822
material_type_Aluminum 5052,0.01257176007018836
machine_id_M02,0.012563270013809016
machine_id_M07,0.009788226706495705
machine_type_Punching,0.009788226706495705
machine_id_M05,0.008608853074813244
requires_welding_False,0.008586688113082788
requires_welding_True,0.008548543440374078
lot_cert_status_Certified,0.008225186054638215
supplier_Supplier B,0.008192280461938909
machine_id_M01,0.007937361275425733
operator_id_OP001,0.007402748347266934
operator_id_OP012,0.007180119672139812
operator_id_OP007,0.006411816426650811
operator_id_OP009,0.006283731604467011
operator_id_OP003,0.005876611582655924
operator_id_OP002,0.005355006886779276
operator_id_OP005,0.005036683393759418
machine_type_Laser Cutting,0.004238244510655856
lot_cert_status_Conditional,0.0038286753336782787
operator_id_OP014,0.0034055958393567525
operator_id_OP016,0.003349325661551078
operator_id_OP019,0.0033136667491012782
operator_id_OP020,0.0031230290309138685
supplier_Supplier D,0.00281847098383914
"material_type_1/4"" Plate",0.0021130600548980617
operator_id_OP015,0.002087114882168743
schedule_variance_hrs,0.0017819910253172536
machine_type_Bending,0.0014389507149118717
operator_id_OP017,0.0013867249334193086
operator_id_OP008,0.0012171949221107025
operator_id_OP011,0.0011655282721259016
lot_cert_status_Missing,0.0011190668473967209
operator_id_OP013,0.0009785102975190761
operator_id_OP010,0.0007614912335866727
operator_id_OP004,0.0007273623624798727
operator_id_OP006,0.0005484405391537883
supplier_Supplier A,0.0005084122891355703
operator_id_OP018,0.0003484131339417059
lot_cert_status_None,0.0
supplier_None,0.0
