feature,mean_abs_shap
quantity_ordered,0.5207713689963799
is_high_complexity,0.20584792665643822
machine_age_years,0.16193708894757278
is_bending_shift_b,0.1263492291961929
is_supplier_c,0.10272373306067974
material_type_16ga Steel,0.10120432580513283
operator_id_OP007,0.09916232845573905
shift_code_Shift B,0.07040303512907434
requires_welding_False,0.06706663404930677
complexity_Medium,0.06634580039027803
complexity_Low,0.06504860900744924
material_type_Stainless 304,0.058589542307733715
std_labor_hrs,0.056745068654263535
material_type_Aluminum 5052,0.04721212631355624
material_type_12ga Steel,0.04285297163477356
machine_id_M05,0.04255377163038142
machine_id_M06,0.04221505478271879
machine_id_M04,0.04215386243143294
requires_welding_True,0.04124553430870417
shift_code_Shift A,0.040748384244143614
machine_id_M02,0.028685884382451298
machine_id_M03,0.028667415621316014
operator_id_OP019,0.028026336320830222
machine_id_M07,0.026463792917205575
machine_type_Punching,0.026463792917205575
supplier_Supplier A,0.026382490236313623
operator_id_OP014,0.023657841932915993
schedule_variance_hrs,0.019918691878993543
operator_id_OP009,0.019006652651688313
operator_id_OP020,0.01750739490892734
operator_id_OP012,0.017278569116949617
machine_type_Laser Cutting,0.017274266113845096
complexity_High,0.017039253103337225
operator_id_OP004,0.016072263671214088
machine_id_M01,0.014251976824994546
supplier_Supplier D,0.01387159731779479
operator_id_OP013,0.012476552392664465
machine_type_Welding,0.012168438492236594
"material_type_3/8"" Plate",0.011099926578615985
machine_type_Bending,0.011014606170111513
"material_type_1/4"" Plate",0.010021665684124598
operator_id_OP008,0.00992054780784467
operator_id_OP002,0.00991808926157747
operator_id_OP016,0.009753243875605467
lot_cert_status_Conditional,0.00860941541073475
lot_cert_status_Missing,0.008442148960413077
operator_id_OP017,0.008002378704162531
operator_id_OP003,0.00796169840237322
operator_id_OP010,0.007671419343588643
lot_cert_status_Certified,0.007252407686871036
operator_id_OP011,0.0067468486714905365
operator_id_OP006,0.006192900376556725
operator_id_OP001,0.005967751448110039
material_type_14ga Steel,0.002043574687066143
operator_id_OP015,0.0014449076753495257
supplier_Supplier C,0.0009249373300456347
operator_id_OP018,0.000899143874250077
supplier_Supplier B,0.0008797299904873922
operator_id_OP005,0.00011463941556136995
lot_cert_status_None,0.0
supplier_None,0.0
