feature,mean_abs_shap
quantity_ordered,0.5074561740702961
is_high_complexity,0.23214060744454149
is_bending_shift_b,0.15189070052949566
material_type_16ga Steel,0.08792357372514178
is_supplier_c,0.07268964081933912
shift_code_Shift A,0.0462148572521799
shift_code_Shift B,0.04615850312372286
complexity_Medium,0.033006398218181236
material_type_12ga Steel,0.032446602976850945
std_labor_hrs,0.02944599554545782
material_type_Stainless 304,0.02854115653093934
complexity_High,0.028263209517267823
"material_type_3/8"" Plate",0.024659223427873418
material_type_14ga Steel,0.02208709621562011
machine_type_Bending,0.021930402851571107
supplier_Supplier A,0.02049176569048304
material_type_Aluminum 5052,0.020322320895035047
machine_id_M06,0.019997383571556483
operator_id_OP001,0.019462616434697773
complexity_Low,0.018734068632338494
machine_age_years,0.014924750089471587
supplier_Supplier C,0.013508515629041424
machine_type_Laser Cutting,0.013063167680091421
schedule_variance_hrs,0.01304450774871488
lot_cert_status_Certified,0.012430434573646326
machine_id_M05,0.012348833403845676
operator_id_OP007,0.01164551295515763
operator_id_OP003,0.011125806545298041
operator_id_OP009,0.010168727333821887
machine_id_M03,0.010016517053061088
lot_cert_status_Conditional,0.00892707384603118
machine_id_M07,0.008593176449920015
machine_type_Punching,0.008593176449920015
operator_id_OP002,0.008313910971144962
machine_type_Welding,0.006986395795574162
supplier_Supplier D,0.006138197021857221
operator_id_OP012,0.005929954717678914
machine_id_M02,0.005785779906127717
supplier_Supplier B,0.0053529800385288115
operator_id_OP005,0.00436013914455599
operator_id_OP013,0.004009791785694101
operator_id_OP019,0.003562206785698708
operator_id_OP008,0.003321528077872946
lot_cert_status_Missing,0.0027729867057826084
requires_welding_False,0.002698782678704053
requires_welding_True,0.0026438680596790327
operator_id_OP006,0.0025716765343659718
operator_id_OP020,0.002496701340661281
machine_id_M01,0.0020070194177217618
operator_id_OP014,0.001801640335998531
operator_id_OP004,0.0017808254857932318
operator_id_OP011,0.00175628162919628
operator_id_OP018,0.001719140717702202
machine_id_M04,0.001579639648806527
operator_id_OP010,0.0014458614748638677
operator_id_OP016,0.0012418355404369063
"material_type_1/4"" Plate",0.0011610127528526761
operator_id_OP017,0.0009084571707634105
operator_id_OP015,0.0007775757903922349
lot_cert_status_None,0.0
supplier_None,0.0
