feature,mean_abs_shap
quantity_ordered,0.10879878776304291
is_high_complexity,0.04104173657204052
complexity,0.03772938116608147
machine_age_years,0.014173439120294397
is_supplier_c,0.013044076868396827
shift_code,0.012746531868451996
material_type,0.011145850458842152
operator_id,0.008407596103193823
is_bending_shift_b,0.007389637186009084
std_labor_hrs,0.007372866493801581
machine_type,0.004161290628589311
machine_id,0.0038013847170164073
supplier,0.003733995500246932
requires_welding,0.0026015428837187888
schedule_variance_hrs,0.0017137420898515976
lot_cert_status,0.00150983770370341
