feature,mean_abs_shap
quantity_ordered,0.09603605383768969
is_high_complexity,0.028172724062460484
complexity,0.026704400077071384
is_bending_shift_b,0.02065854633552593
shift_code,0.01816558008203886
material_type,0.01191438343190461
is_supplier_c,0.009484966215900248
std_labor_hrs,0.009423526359232534
operator_id,0.007233822768552343
machine_type,0.006175026119641322
machine_age_years,0.005061958155248126
machine_id,0.00479687061632517
supplier,0.003520191506603468
requires_welding,0.003219592259201791
schedule_variance_hrs,0.0015320917263123963
lot_cert_status,0.0009801047477652671
